דגם הרכב,יצרן הרכב,שנה,סוג מנוע,סוג שמן,מידות צמיג,גודל בוקסות,סוג כבלים להתנעה,סוג סיוע משיכה,גלגל רזרבי,מיקום/שחרור גלגל רזרבי,גובי מגרעת סוג ג'ק,מיקום המצבר,מיקום הסטרטר,סוג התנעה,סוג חלונות/ נעילה,אפשרויות פתיחה,הערות תוספים מיוחדים,מיקום חיבור כבל גיר
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
